Year,Artist,Popularity,Track ID,Genre
1955,Erroll Garner,50,6oanIhkNbxXnX19RTtkpEL,jazz
1955,Chet Baker,57,0UZFhlhUMrYyzzyOHkylM3,jazz
1955,Elton Britt,53,7IPzEPRs8Y3j0hieZ4wdYf,traditional country
1955,Julie London,56,1xlyVmdCo5lMRIzuMlAUF7,vocal jazz
1955,Javier Solís,64,4leHHwUSR0Vm5rjYvHhBEU,bolero
1955,Bill Haley & His Comets,57,5z2Gef9D3UgRquZXe7UUW4,rockabilly
1955,Julio Jaramillo,62,0X2tvdSAB6hnZ78UzuwxXQ,bolero
1955,Sarah Vaughan,52,56IQUfsUskt9VHe6YM6kue,vocal jazz
1955,Big Jay McNeely,48,1bSBbbH9KYzwsKosToLeAC,
1955,The Harptones,48,7pihvWmEVo5J2PcxvP6T4f,doo-wop
1955,Margaret Whiting,51,5j9HUr2izjXctYvgKF4GoW,adult standards
1955,Tennessee Ernie Ford,46,66gEeYiMppDZjNEoTsbnL6,christian country
1955,Big Jay McNeely,43,4MG43YVqKMVyTjB8thgHQm,
1955,Julio Jaramillo,59,7kX9Uj3nkGxN2ItasgLEHg,bolero
1955,Julio Jaramillo,60,6fsGvpQ3Bxh9Gozr9RimiC,bolero
1955,The Rays,45,7poCmfMRbKgPQoA1RBIMGE,doo-wop
1955,Julie London,47,1owGm6QDclYTJ40SMz97rW,vocal jazz
1955,Chet Baker,49,3Tl1ZkXpawreFbQLeLSPXT,jazz
1955,Hank Williams,46,0hW1NbyUN7qzMPwyfVkqew,honky tonk
1955,Tommy Flanagan Trio,42,0Qb7XiM5AFrTTJ0Cu4FsS4,jazz
1955,Julie London,47,7EKUOlysNuLlfgoH5oySA6,vocal jazz
1955,Frankie Laine,46,3FzkbFgVGdg4zqyCMzUPM7,
1955,Hank Williams,42,5tP3bJn54lflOjlQ8CaTbV,honky tonk
1955,Ella Fitzgerald,46,2cvztQuBIxwV38kg1Ydaww,vocal jazz
1955,Dizzy Gillespie,44,4ttUzFCVnlOmopuzM4oEUJ,bebop
1955,The Penguins,40,3nmdyx0MCjJHgClJwTehKk,doo-wop
1955,Julio Jaramillo,56,33eEl0dFATCvUcLgwbLbG6,bolero
1955,Tommy Flanagan Trio,38,3C3dxv8SYilM0yeaNcYk8W,jazz
1955,Hank Williams,40,4ztdfd8eTApixD6Aglhk1z,honky tonk
